"phrasal_verb","data.derivatives","data.descriptions","data.examples","data.frequency","data.synonyms","data.difficulty","data.tags"
"see to","[""sees to"",""seeing to"",""saw to"",""seen to""]","[""to deal with or take responsibility for someone or something""]","[""His advisers and knights left the room to see to the fort's defence as Madoc entered, his expression grave."",""I should have seen to it that she was told."",""You try to get some sleep, I’ll see to the children’s breakfast."",""You’d better take her to hospital and get her ankle seen to.""]",0,\N,"Medium",\N
"seek out","[""seeks out"",""seeking out"",""sought out""]","[""to find someone or something by looking for them in a determined way""]","[""Corbett resolved to seek out the truth."",""Not I. For I deem it perilous now for mortal man wilfully to seek out the Elder People."",""Sometimes as he fussed around her, his eyes would suddenly seek out Laura's."",""They did not seek out the rest of us, nor attack our camp; but instead they went with all speed towards Isengard.""]",3,\N,"Medium",\N
"seep away","[""seeps away"",""seeping away"",""seeped away""]","[""to gradually become weaker or to disappear""]","[""Their supply of food gradually began to seep away.""]",\N,\N,"Medium",\N
"seize on","[""seizes on"",""seizing on"",""seized on""]","[""to use something in an enthusiastic way in order to gain an advantage""]","[""Carpenter is waiting for an opportunity to seize on something useful."",""Companies were quick to seize on the possibilities offered by new technology.""]",0,"[""cash in on [informal]"",""exploit"",""take advantage of"",""use""]","Medium",\N
"seize up","[""seizes up"",""seizing up"",""seized up""]","[""to suddenly stop moving or working properly""]","[""Her back seized up painfully after she’d lifted the box."",""If you don’t add oil, the engine will eventually seize up.""]",0,\N,"Medium",\N
"sell off","[""sells off"",""selling off"",""sold off""]","[""to sell something quickly and for a low price, usually because you need money""]","[""And of course you'll have to sell off the back catalogue"",""Most deans don't try to sell off their Cathedral treasures!"",""She might have been prepared for Travis's presence, but she wasn't prepared for the casual suggestion that she sell off her very life."",""Some of the studios were having a big sell-off, that's where I get a lot of my stuff."",""The company will have to sell off assets to avoid bankruptcy."",""The monk who took me round made it clear that the Order had fallen on hard times, and the brothers needed to sell off what they could.""]",0,\N,"Medium",\N
"sell on","[""sells on"",""selling on"",""sold on""]","[""to sell something after buying it from someone else""]","[""They buy it at a low price and sell it on for a huge profit.""]",0,\N,"Medium",\N
"sell out","[""sells out"",""selling out"",""sold out""]","[""if a shop sells out of something, it sells all that it has so that there is no more available"",""to deliberately sell all the goods in your business, especially because you are closing the business permanently"",""to do something that shows you no longer have the same moral principles that you used to have"",""used about goods""]","[""But without the reef, people are forced to sell out at rock-bottom prices to pay their debts; a year later Brismand moves in."",""I went to get some bread, but the shop had sold out."",""On a hot day, we can sell out of ice cream in an hour."",""Some fans thought she’d sold out to mainstream pop music."",""The tickets had sold out within a few short hours."",""Why are you prepared to sell out your colleagues just to save Graham and Carver?"",""`The difference is I voiced my opinions, I didn't resort to treason and sell out my colleagues to the CIA.""]",2,"[""abandon your principles"",""betray your ideals"",""degrade yourself"",""demean yourself""]","Medium",\N
"sell up",\N,"[""sell a house or business to move somewhere or do something different""]",\N,\N,\N,"Medium",\N
"send away","[""sends away"",""sending away"",""sent away""]","[""to order someone to leave a place""]","[""His solicitor was sent away by the security guards.""]",\N,\N,"Medium",\N
"send away for","[""sends away for"",""sending away for"",""sent away for""]","[""to write to a person or organization asking them to send something to you""]","[""I’ve sent away for details of their holiday packages.""]",0,\N,"Medium",\N
"send back","[""sends back"",""sending back"",""sent back""]","[""to return something that is not satisfactory""]","[""If you’re not happy with it, you can always send it back.""]",\N,\N,"Medium",\N
"send down","[""sends down"",""sending down"",""sent down""]","[""to be ordered to leave a university because you have behaved badly"",""to send someone to prison""]","[""And then I'm going to be spending my weekends writing reports to send down to Window Rock."",""Eric was sent down for cheating in examinations."",""He’s been sent down for five years for forgery."",""The gods would send down vengeance on him and strike him dead."",""They split it and soon found themselves outside on the street where the sky was undecided over whether to send down snow or sleet.""]",1,"[""confine"",""detain"",""imprison"",""lock up""]","Medium",\N
"send for","[""sends for"",""sending for"",""sent for""]","[""to arrange for something to come to you or be delivered to you"",""to ask for someone to come to you""]","[""He waited for the Ila, riding within sight of him, to send for him."",""I think we should send for a doctor."",""In the end we had to send for an ambulance."",""I’ve sent for their latest catalogue.""]",0,"[""call for"",""call in"",""demand"",""summon""]","Medium",\N
"send in","[""sends in"",""sending in"",""sent in""]","[""to arrange for people or equipment to go to a place"",""to send a letter or document to an organization""]","[""Entry forms must be sent in by December 21."",""Government forces were sent in to fight the rebellion."",""Keep sending your letters and suggestions in to the BBC."",""The Peruvians have assured us they will send in a highly trained security force to control the valley.""]",0,\N,"Medium",\N
"send off","[""sends off"",""sending off"",""sent off""]","[""to arrange for someone to go somewhere"",""to post something to someone"",""to tell a sports player officially to leave the sports field because they have done something that is not allowed by the rules""]","[""And I'd send off two or three flares if you really want a response."",""He had robbed them of a decent send-off, a prolonged farewell."",""He was sent off for arguing with the referee."",""I must get the parcel sent off tomorrow."",""We’ve sent the children off to the zoo for the afternoon.""]",0,"[""dispatch"",""forward"",""mail"",""post""]","Medium",\N
"send off for",\N,"[""order something by post""]",\N,\N,\N,"Medium",\N
"send out","[""sends out"",""sending out"",""sent out""]","[""to allow a substance such as smoke or chemicals to escape into the atmosphere"",""to send a lot of copies of the same document to a large number of people"",""to send someone to a place for a particular purpose""]","[""And you'd also have to send out rejection letters to candidates who aren't chosen for a particular position."",""The factory sends out toxic gases into the surrounding countryside."",""We sent out 300 invitations to our gallery opening."",""We sent out a search party to look for the missing climbers.""]",0,"[""bear"",""bring forth"",""produce"",""yield""]","Medium",\N
"send out for","[""sends out for"",""sending out for"",""sent out for""]","[""to order something and ask for it to be delivered to you""]","[""I don’t feel like cooking – let’s send out for a pizza.""]",0,\N,"Medium",\N
"send up","[""sends up"",""sending up"",""sent up""]","[""to make someone seem silly by pretending to speak or behave like them"",""to send someone to prison""]","[""Cutter would send up `trial balloons\"", what people in the consumer-products business called test-marketing."",""He sends the prime minister up brilliantly."",""He was sent up for 10 years."",""She would hurry as soon as she was out of sight and run downstairs and perhaps send up one of the attendants."",""You may ask Aunt Mathilda and Uncle Titus to send up some food and my bed!"",""`The Americans can't send up any planes, can't see their noses.""]",2,\N,"Medium",\N
"separate out","[""separates out"",""separating out"",""separated out""]","[""same as separate""]","[""The material is processed to separate out the impurities."",""Two main factors separate out this group of children from the others.""]",0,"[""filter (out)"",""refine"",""sift"",""strain""]","Medium",\N
"serve out","[""serves out"",""serving out"",""served out""]","[""same as serve"",""to continue doing something until you are officially allowed to stop doing it""]","[""Shall I serve out the potatoes?"",""We want you to serve out your full contract.""]",0,\N,"Medium",\N
"serve up","[""serves up"",""serving up"",""served up""]","[""same as serve"",""to provide something""]","[""Aunt Edie served up a lovely roast leg of lamb for dinner."",""The teams served up some highly entertaining football this afternoon.""]",0,\N,"Medium",\N
"set about","[""sets about"",""setting about""]","[""to begin doing something, especially in a determined or enthusiastic way""]","[""Donaghue set about resolving the problem of rehousing the victims."",""She set about the problem with her usual energy.""]",\N,\N,"Medium",\N
"set against","[""sets against"",""setting against""]","[""to cause two people or groups to fight each other although they were in a friendly relationship before"",""to compare one thing with another"",""to state officially that an amount of money is a cost to your business in order to pay less tax""]","[""Hers is only one story set against thousands of women who will receive a similar screening result this year."",""The epilogue takes place in a kitchen, where a mother stands beside the table surrounded by chairs, one with crutches set against it."",""The rights of the woman and the rights of the unborn child are often set against one another."",""They will conclude the existence of the disparity between their successful and enterprising form set against Wales 's failure and uninspiring play."",""This season’s results have been disappointing set against last year’s."",""You know your expenses can be set against tax, don’t you?"",""a bitter industrial dispute that had set worker against worker""]",3,"[""alienate"",""divide"",""drive a wedge between"",""oppose""]","Medium",\N
"set apart","[""sets apart"",""setting apart""]","[""to keep something separate in order to use it for a particular purpose"",""to make someone or something different and special""]","[""Graf’s natural athleticism set her apart from other tennis players."",""Several acres of public land have been set apart for recreation."",""They numbered six, not counting Simon and Charles, both set apart, one by age, the other by character.""]",0,"[""characterize"",""distinguish"",""separate"",""single out""]","Medium",\N
"set aside","[""sets aside"",""setting aside""]","[""to keep or save something from a larger amount or supply in order to use it later for a particular purpose"",""to not let a particular feeling, opinion, or belief influence you, in order to achieve something more important"",""to officially state that a particular legal decision will no longer be followed""]","[""Councils have a duty to identify how many new homes will be needed in their area and set aside suitable land."",""Councils have significant reserves of money set aside against risk and planned proJects."",""Have you set aside some money for your child’s education?"",""He saved seriously for four decades, remembering to increase the sums set aside regularly over time."",""I do think it would be sensible for him to set aside his second job."",""In addition, these banks have been continually setting aside income to increase their loan loss reserves to cover the losses on this debt."",""Now we have set aside and stewardship schemes where the production of food is secondary to the look of the countryside - all very laudable."",""Second, farmers have been encouraged to set aside land for biofuel production."",""Set aside a few hours for this task and be prepared to ask yourself some hard questions."",""Set aside and keep warm until ready to serve."",""Set aside and put the halved apple in the cavity."",""Set aside for three hours to absorb the flavours."",""Set aside one half and chop the rest."",""Set aside time to look at plans to make extra money at home."",""The High Court has set aside the lower court’s ruling."",""The curators have set aside space for examples of Egyptian writing, both literary and ephemeral."",""They agreed to set aside their differences and work together for peace."",""Two days have been set aside for the hearing."",""Yet nowadays we have an oversupply of some food, which has led to a scheme of set aside when farmers are paid not to produce food."",""You can also set aside definite times for questions."",""You make progress in money talks by setting aside feelings and focusing strictly on the facts."",""Your ability to set aside personal feelings and stay with the facts will help in family talks.""]",0,"[""bury"",""disregard"",""ignore"",""shrug off""]","Medium",\N
"set back","[""sets back"",""setting back""]","[""to cost someone a particular amount of money, especially a large amount"",""to delay the progress of someone or something""]","[""Four years ago he took a knock that could have set back many a weaker character."",""Jim’s new car must have set him back £30,000."",""The spending cuts have set the research project back several years."",""There will be a few others set back weeks after getting stuck into the ales.""]",2,"[""delay"",""hold back"",""hold up"",""slow""]","Medium",\N
"set down","[""sets down"",""setting down""]","[""to consider something in a particular way"",""to state officially how something should be done"",""to stop a vehicle so that a passenger can get out"",""to write something on a piece of paper so that it will not be forgotten and can be looked at later""]","[""A moment later the old woman came back and set down a big glass of water and a basket of hush puppies."",""Emma set down the food on top of a box containing cartons of soap powder."",""He set the whole experience down as a failure."",""How many words have I set down on paper or vellum, thinking to trap the truth thereby?"",""She set all these events down in her diary."",""These conditions were set down by the United Nations."",""Yet something in her voice, an edge of hoarseness, made me set down the cup I'd started to lift.""]",0,"[""draft"",""jot down"",""record"",""write down""]","Medium",\N
"set forth","[""sets forth"",""setting forth""]","[""to explain or describe something in a clear and detailed way, especially in writing"",""to start a journey, especially one that is long or difficult""]","[""And gone forever was the breathless quality of dreams as yet unrealized with which he had hand in hand set forth with her."",""Frodo passes the Cross-roads, and sees the Morgul-host set forth."",""Quickly he set forth for them all that Maundigand-Klimd had just told him."",""This memorandum sets forth basic departmental policies."",""the original plan, and set forth warily to sample vicarious parenthood.""]",0,"[""embark"",""sally forth"",""set off"",""start out""]","Medium",\N
"set in","[""sets in"",""setting in""]","[""if something unpleasant sets in, it starts to happen and have an effect, and is not likely to stop for a long time""]","[""He wondered how much of his current unease was due to the forces that had been set in motion by the Letter."",""It was set in the main body of the park reached through a wrought-iron gate, intricately moulded into beguiling patterns."",""Let’s get inside – the rain’s set in for the day."",""Most guests were clearly from the Source/ MTV/ Vibe rap set-in town for the upcoming Source Awards, Kim concluded."",""On her fourth finger, left hand, was a clear pink tourmaline set in gold."",""Shortly after the business started, a long economic downturn set in."",""They passed large villas set in their own, almost tropical gardens.""]",4,\N,"Medium",\N
"set off","[""sets off"",""setting off""]","[""to cause a situation or a series of events to happen, especially without intending to"",""to cause something to operate, especially by accident"",""to make someone or something look more attractive by being clearly different from them"",""to make someone start to laugh, cry, or talk a lot"",""to make something explode"",""to start a journey, or to start going in a particular direction""]","[""He fears that the election could set off mass protests."",""Her plain blue dress was set off by a feather-trimmed hat."",""Jeff pushed open the front door, which set off the alarm."",""Just mentioning her father’s death could set her off again."",""Raskin set off at a brisk pace, almost trotting down the wide Steps."",""She rang the door bell, which set off savage barking from all over the house."",""She set off on these trips, often in the small hours of the morning, leaving Peter to the ostensible care of Mickey."",""Somebody was setting off fireworks down the street."",""We set off early the next morning."",""With great laughter, Mervin, Flora, and I set off in a taxi.""]",0,"[""complement"",""enhance"",""show off"",""throw into relief""]","Medium",\N
"set off against","[""sets off against"",""setting off against""]","[""same as set against"",""to compare one thing with another""]","[""Claims for expenses can be set off against tax."",""The quality of the facilities must be set off against the cost of using them.""]",\N,\N,"Medium",\N
"set on","[""sets on"",""setting on""]","[""to attack someone or something"",""to tell a person or animal to attack another person or animal""]","[""He was lean and intense, the kind of guy who has his sights set on promotion."",""I feel like I've wasted everything that's been set on my table."",""Leave now or I’ll set the dogs on you."",""The house itself was set on several acres of rolling green hills."",""The lodging was dark, save for a little lantern set on the table.""]",3,\N,"Medium",\N
"set out","[""sets out"",""setting out""]","[""to explain, describe, or arrange something in a clear and detailed way, especially in writing"",""to put something where it can be seen or used"",""to start a journey"",""to start doing or working on something in order to achieve an aim""]","[""After a three-day rest, the travellers set out again."",""I let her walk a long way ahead until I could only just make her out and then I set out after her."",""In his report he sets out his plans for the department."",""Making an effort to curb her impatience, she set out to explain."",""She seemed to be tugging him towards the long tables on which the flower exhibits had been set out."",""They set out to build their own house."",""When we set out on this project, we knew it would be difficult."",""You deliberately set out to torment another living creature."",""street traders setting out their wares""]",4,"[""describe"",""detail"",""explain"",""list""]","Medium",\N
"set to","[""sets to"",""setting to""]","[""to start doing something in a determined or enthusiastic way""]","[""A barnstorming rendition of Lost showed the track is set to become a live classic."",""After the party we all set to and cleared everything up."",""And what an example he has set to people."",""Britain's manufacturing is set to become less competitive on a global scale over the next five years."",""CHEESE prices are set to rocket after early spring rain turned grass into mud and slashed milk yields."",""Downton is also set to get racier as the show embraces the Roaring Twenties."",""Fruit juice prices are set to rise sharply this year."",""He was at the preview, and it's reported that he had a bit of a set-to with Councillor Steel, so that's why I ran him through the computer."",""He's also set to rake it in promoting the channel's range of fitness supplements."",""History, geography and modern languages are set to become compulsory in school until pupils reach 16 in sweeping changes to the national curriculum."",""It is also set to propose a 22 per cent dividends boost in April."",""It was a vicious and raucous set-to, beaks stabbing, wings thrashing and, as he watched it played out, he had his question answered."",""Many packed into nearby pubs to begin celebrations set to last long into the night."",""PIZZA prices are set to soar thanks to big rises in the cost of cheese and tomato puree."",""The Monday after her set-to with Hayes, Nora had shown up at Mark and Lorraine's at dawn."",""The civil trial is set to begin tomorrow if a deal cannot be reached."",""The example they set to thousands of young people attending mosques out of school hours is of utmost importance."",""The full hearing is set to begin on Monday."",""The high oil price is set to fuel a six per cent increase in exploration around the world this year."",""The stock is set to begin trading on Thursday."",""This autumn is also set to be one of the driest on record."",""Upside The location is convenient and set to become more so."",""What an example to set to their children."",""Why, we had a real set-to, and there were some folk killed, killed dead!""]",3,\N,"Medium",\N
"set up","[""sets up"",""setting up""]","[""to arrange a situation so that someone is blamed for doing something, especially something illegal"",""to arrange for two people who you know to go out together because you think they might like each other"",""to begin living in a particular place or with a particular person"",""to build a structure, or to put it in a particular place"",""to claim to be something that you are not"",""to make a piece of equipment ready for use"",""to make it possible for someone to start a business, organization, or institution"",""to make something start to happen"",""to organize or plan something such as an event or system"",""to prepare someone for something"",""to provide someone with enough money so that they do not have to work for the rest of their life"",""to put a tent in an upright position, or to build a shelter somewhere"",""to put someone in a position of power"",""to put your possessions or equipment in a particular place so that you can live, work, or spend a lot of time there"",""to start something such as a business, organization, or institution""]","[""After graduation, we decided to set up house together."",""After the war, she set up shop in a quiet Yorkshire town."",""But she's a full partner and she and Mr Chambers set up the business together."",""Description, attitude to his job, laid over the set-up at the hotel in Rome."",""Have something hot to set you up for the journey."",""He sets himself up as some kind of financial expert."",""I knew you would be able to read this does sound like a set-up for further correspondence."",""I think we should set Ryan up with my cousin."",""I'm sure she needs the money to set up shop, wherever she is."",""I’ll set up a meeting for Thursday."",""Police have set up a mobile incident unit outside the shop."",""Rebels have set up an independent state within the country."",""She claims she’s innocent and someone set her up."",""She set up camp in the kitchen while they painted the bedroom."",""The army set up roadblocks to stop people trying to escape."",""The group plans to set up an import business."",""The kids are setting up the volleyball net."",""The programme will set up a regional library system."",""Their negligence set up a chain reaction that resulted in extensive damage."",""To her left on an extension of the desk was a computer set-up."",""Voss went in, shook hands with the man and told him to set up his equipment."",""We set up camp for the night near the river."",""We should be set up to deal with it by the end of the month."",""While the band is setting up, would you check on the food?"",""Will you be able to set up my PC?"",""a plan to set him up as party leader"",""a privileged kid whose father set him up in business"",""a trust fund that set her up for life""]",0,"[""dispose"",""prepare"",""prime"",""warm up""]","Easy",\N
"set upon","[""sets upon"",""setting upon""]","[""to attack someone or something""]","[""Girls in the gang calmly watched as he was set upon by about 20 male youths."",""He was set upon by three men who stole his laptop as he held it up to film the scene with a webcam."",""The Pearl Jam bass player and a friend were set upon by three masked men outside a recording studio."",""This was an horrendous crime on a man of 24 just walking home with his girlfriend when he was set upon by those three drunken yobs.""]",2,\N,"Medium",\N
"settle down","[""settles down"",""settling down"",""settled down""]","[""same as settle"",""to begin to live a quieter life by getting married or staying permanently in a place"",""to make yourself comfortable in a place, especially in order to do something that will take a lot of time or effort""]","[""Are you ever going to settle down and get married?"",""For two weeks, he can't have enough of her and then things settle down to a more usual pace."",""I settled down in front of the television for the evening."",""I'd told him I was going to settle down with the TV then have an early night."",""If he'd but settle down, why Thorney was saying he'd settle all the Westward Meadows on the lad."",""Now she sat on her bunk, hands folded, waiting patiently for Bauman to settle down."",""She took a seat and settled down to wait."",""The kids will settle down after they’ve had a nap.""]",3,"[""go to bed"",""go to sleep"",""retire"",""turn in""]","Easy",\N
"settle for","[""settles for"",""settling for"",""settled for""]","[""to accept someone or something that is not exactly what you wanted because you cannot have what you wanted""]","[""Apply it to the hair and leave to settle for ten to 15 minutes."",""Injuries and illness forced the team to settle for third place."",""Why settle for second best when you can have something better?""]",2,"[""accept"",""stand for"",""take"",""tolerate""]","Medium",\N
"settle in","[""settles in"",""settling in"",""settled in""]","[""to become familiar with a new way of life, place, or job, or to make someone do this"",""to make yourself comfortable in a place because you are going to stay there for a long time""]","[""It took the young men half an hour to settle in, unpack, make a few telephone calls."",""She handed him over, or rather he handed himself over, while Iris was helping me to settle in."",""She seems to have settled in quickly at her new company."",""The land gradually changed as people began to settle in the middle reaches of the Sao Francisco valley during the seventeenth century."",""We found our seats and settled in for the journey.""]",3,"[""accustom yourself"",""adapt"",""become acquainted"",""get used to something""]","Medium",\N
"settle into","[""settles into"",""settling into"",""settled into""]","[""to become familiar with a new way of life, place, or job, or to make someone do this"",""to make yourself comfortable in a place because you are going to stay there for a long time""]","[""How are you settling into your new home?"",""We settled into our tent.""]",\N,\N,"Medium",\N
"settle on","[""settles on"",""settling on"",""settled on""]","[""if your eyes settle on someone or something, you begin to look at them"",""to give someone money or property in a legal and official way"",""to make a decision between two or more people or things after not being certain which to choose""]","[""He settled the remainder of his estate on his three grandchildren."",""The band has yet to settle on a name.""]",0,\N,"Medium",\N
"settle up","[""settles up"",""settling up"",""settled up""]","[""to agree how much each person or group should pay"",""to pay all of an amount of money that you owe to a particular person or company""]","[""D'or grinned wickedly at DeDe, who said: `Well, you two can settle up."",""I’ll pay – we can settle up later."",""Let’s settle up with the waiter and get out of here.""]",0,"[""pay (up)"",""pay the bill"",""square up""]","Medium",\N
"sew up","[""sews up"",""sewing up"",""sewed up"",""sewn up""]","[""to achieve something by dealing successfully with it, or by making certain that you are going to win"",""to repair something such as a hole in a piece of cloth by sewing it""]","[""As part of their winding-up operation they're sending two detectives to sew up this end of things."",""Dr. Jonsen seemed a little lackadaisical at times, the type who might sew up a sponge inside you."",""Mahoney said: `The German riggers aboard the old Zeppelins had to go up top regularly in flight to sew up tears in the canvas."",""They seem to have the contest all sewn up."",""We’ve got the deal sewn up now."",""`And if men can make costumes for the dances, can they not sew up a shirt?""]",1,"[""darn"",""mend"",""patch up"",""repair""]","Medium",\N
"sex up","[""sexes up"",""sexing up"",""sexed up""]","[""to change something in order to make it seem more interesting, exciting, or important""]","[""They brought in an advertising agency to try to sex up the city’s image.""]",0,\N,"Medium",\N
"shack up","[""shacks up"",""shacking up"",""shacked up""]","[""to live or stay in a place for a short time"",""to live with another person as sexual partners without being married. This word often shows that you do not approve of people who do this.""]","[""With no cash for food let alone a place to live, they're forced to shack up in a squat."",""You can shack up with my sister until you find your own place.""]",1,\N,"Medium",\N
"shade in","[""shades in"",""shading in"",""shaded in""]","[""same as shade""]","[""I’d like you to shade in all the triangles.""]",\N,\N,"Medium",\N
"shade into","[""shades into"",""shading into"",""shaded into""]","[""if one thing shades into another thing, it is difficult to know where one ends and the other begins""]","[""After a while, each year began to shade into the next.""]",\N,\N,"Medium",\N
"shake down","[""shakes down"",""shaking down"",""shook down"",""shaken down""]","[""to become familiar with a new job or place to live"",""to become organized after a period of confused preparation"",""to get money from someone by threatening them"",""to search a person or a place very carefully"",""to sleep somewhere such as on the floor or in a chair instead of in a bed"",""to test something new, for example a system, vehicle, or machine, in a situation similar to the situation that it will be used in""]","[""Sometimes you snore so loud that the sound alone could shake down a stone fortress."",""There was talk of strolling around the yard to shake down the carbohydrates but nobody cared to set the example."",""el4`Jason's having a milk shake down below,' said Homer.""]",0,\N,"Medium",\N
"shake off","[""shake"",""shakes"",""shaking"",""shook"",""shaken""]","[""if you shake, your body makes lots of small quick movements that you cannot control, usually because you are cold, or because you are feeling a very strong emotion"",""if your voice shakes, it sounds weak, nervous, or emotional"",""to escape from someone who is following or chasing you"",""to frighten someone, or to cause them to feel strong emotions"",""to get rid of something bad such as a problem, illness, or fear"",""to hold someone and move them quickly in order to get their attention, or to wake them"",""to make lots of quick small movements up and down, or side to side"",""to make something less strong, powerful, or confident"",""to move something quickly up and down or side to side""]","[""An earthquake shook a wide area of southern Italy last year."",""And I have been trying to shake off the stigma for some time."",""Flew up to Ireland to shake off the watchers, then on to Antwerp."",""He was shaken and upset by the accident."",""His voice shook as he asked her to marry him."",""Houses shook as a bomb exploded in the neighbourhood."",""If once we shake off the pursuit, I shall make for Weathertop."",""Shake the dressing well before you put it on the salad."",""She couldn’t shake her fear of snakes."",""She was literally shaking with fear."",""The boy’s tragic death shook the entire community."",""The news shook financial markets worldwide."",""They ran into the alley, hoping to shake off their pursuers."",""Try as he might, Jimmy still could not shake off his doubts."",""Violent conflicts between tribes have shaken the region."",""‘You’re not listening!’ she cried, shaking him.""]",2,"[""get away from"",""get rid of"",""leave behind"",""lose""]","Medium",\N
"shake out","[""shakes out"",""shaking out"",""shook out"",""shaken out""]","[""to shake a cloth, sheet, piece of clothing etc so that dust and dirt fall off""]","[""Help me shake out this blanket.""]",1,\N,"Medium",\N
"shake up","[""shakes up"",""shaking up"",""shook up"",""shaken up""]","[""to make changes in the way that a company is organized so that it is more effective or successful"",""to upset or frighten someone by shocking or surprising them""]","[""A new managing director was brought in to shake up the company."",""A series of robberies has shaken up residents in this area."",""Added to which there could be another major shake-up in the offing."",""All the technical gimmicks introduced after the last security shake-up amused rather than annoyed."",""It predicted a big shake-up in the NGO world -- apparently there are too many organisations out there chasing too little money."",""No. I thought we'd clatter round the lake and shake up all those tired executives lounging below."",""She was exhausted and unsettled by the shake-up in her life, and it was hard for her to think clearly."",""Stone made a U-turn and followed at a very discreet distance, wondering how best to shake up Sturmack's world."",""`I'm just doing something wild and unpredictable to shake up my life."",""`We needed a shake up for Dr Carlisle and this is definitely it.""]",0,"[""disturb"",""frighten"",""shock"",""upset""]","Medium",\N
"shame into","[""shames into"",""shaming into"",""shamed into""]","[""to make someone feel so guilty or embarrassed that they do what you want""]","[""The Government have been shamed into providing more money for the project.""]",\N,\N,"Medium",\N
"shape up","[""shapes up"",""shaping up"",""shaped up""]","[""to develop"",""to improve your behaviour or your work"",""used for telling someone that if they do not improve their behaviour or their work they must leave""]","[""Another enjoyable spectator sport is examining how people shape up in their swimming kit."",""Education is shaping up as the hottest issue on the agenda."",""Nine children have died in what is shaping up to be one of the worst years for flu in two decades."",""The new boss has warned Roger to shape up."",""This year is shaping up to be one of my busiest yet!""]",1,\N,"Medium",\N
"share in",\N,"[""have a part in a project, activity, etc""]",\N,\N,\N,"Medium",\N
"share out","[""shares out"",""sharing out"",""shared out""]","[""same as share""]","[""We had one pizza shared out between us.""]",1,"[""allocate"",""distribute"",""divide up"",""hand out""]","Medium",\N
"shave off","[""shaves off"",""shaving off"",""shaved off""]","[""to cut hair from part of your body using a razor or a shaver"",""to cut thin pieces from the surface of something"",""to reduce an amount""]","[""He managed to shave nearly a second off the world record."",""She shaved off some slices of Parmesan cheese for the salad."",""You’ve shaved off your beard.""]",\N,\N,"Medium",\N
"shell out","[""shells out"",""shelling out"",""shelled out""]","[""to spend a lot of money on something""]","[""Diving between the kraken's jaws, the raven snatched Gobaith's shell out of the air."",""Dora still remembers the time you fingered a Class A shell out of my territory and she's in one of her moods now."",""She sees herself as a kind of peapod, whose purpose is to split and shell out little replicas of herself."",""Since they wouldn’t share, I ended up shelling out for two hotel rooms."",""Tara was not a jewellery person, which was just as well because Finn certainly didn't have the money to shell out on chunky gold stuff.""]",1,"[""expend"",""fork out [slang]"",""give"",""pay out""]","Medium",\N
"shin up",\N,\N,\N,\N,\N,"Medium",\N
"shine through","[""shines through"",""shining through"",""shone through""]","[""if a good feeling or quality shines through, it is very noticeable""]","[""Perlman’s musical talents shone through at an early age.""]",\N,\N,"Medium",\N
"ship off","[""ships off"",""shipping off"",""shipped off""]","[""to send someone somewhere, usually when they do not want to go""]","[""We were shipped off to our grandparents’ for the holidays.""]",\N,\N,"Medium",\N
"ship out","[""ships out"",""shipping out"",""shipped out""]","[""to leave a place"",""to move goods or people away from a place""]","[""Beyond Bingtown, leave the safety of the inner passage and take your ship out Wildside."",""Her fingers were very cold, but then, late at night, at the end of autumn, on a ship out on the Thames, everything is very cold."",""If we could reach them with some signal, they could get a drone ship out here within a week."",""The situation looked bad and tourists were shipping out."",""There's a ship out on the pond that Lister's got to meet, OK?"",""Thousands of tons of steel were shipped out from the docks.""]",1,\N,"Medium",\N
"shit on","[""shits on"",""shitting on"",""shat on""]","[""to treat someone in an extremely unfair way""]",\N,\N,\N,"Hard",\N
"shoot away",\N,"[""leave somewhere quickly""]",\N,\N,\N,"Medium",\N
"shoot back",\N,"[""return quickly""]",\N,\N,\N,"Medium",\N
"shoot down","[""shoots down"",""shooting down"",""shot down""]","[""to kill someone with a gun"",""to refuse even to consider something such as an idea or a plan"",""to shoot an enemy aircraft out of the sky""]","[""Each proposal was shot down in flames."",""He could do it at gunpoint and shoot down anyone who got in his way."",""He had been walking down the street on his way to a club when he was shot down."",""The airliner was shot down by mistake."",""They come one at a time; no Field, they're easy to shoot down."",""`He wasn't very efficient, trying to shoot down Mr O'Brien in front of a crowd of witnesses, including a police inspector."",""`In your view it's okay for the Salvadorian air force to bomb the guerrillas but not for the guerrillas to shoot down the planes.""]",2,"[""blow away [slang , mainly US]"",""fell"",""gun down"",""put a bullet into [informal]""]","Medium",\N
"shoot for","[""shoots for"",""shooting for"",""shot for""]","[""to try to achieve a particular thing""]",\N,\N,\N,"Medium",\N
"shoot off","[""shoots off"",""shooting off"",""shot off""]","[""to leave a place quickly or suddenly""]",\N,\N,\N,"Medium",\N
"shoot out",\N,"[""go out for a short time""]",\N,\N,\N,"Medium",\N
"shoot through","[""shoots through"",""shooting through"",""shot through""]","[""to leave a place, usually suddenly""]",\N,\N,\N,"Hard",\N
